BookID,Chapter,TotalVerses,WordCountKjv,ReadingTimeInSecondsKjvScourby
1,1,31,797,296
1,2,25,632,204
1,3,24,695,226
1,4,26,632,217
1,5,32,504,169
1,6,22,579,190
1,7,24,584,187
1,8,22,586,198
1,9,29,658,220
1,10,32,495,182
1,11,32,606,204
1,12,20,536,165
1,13,18,457,143
1,14,24,606,187
1,15,21,471,166
1,16,16,412,140
1,17,27,679,221
1,18,33,867,264
1,19,38,1108,318
1,20,18,498,160
1,21,34,774,246
1,22,24,629,208
1,23,20,539,159
1,24,67,1816,510
1,25,34,706,244
1,26,35,889,272
1,27,46,1262,382
1,28,22,621,195
1,29,35,830,243
1,30,43,1022,317
1,31,55,1417,432
1,32,32,794,254
1,33,20,508,160
1,34,31,790,227
1,35,29,664,213
1,36,43,845,292
1,37,36,942,295
1,38,30,819,256
1,39,23,666,178
1,40,23,580,173
1,41,57,1404,451
1,42,38,977,321
1,43,34,938,307
1,44,34,874,258
1,45,28,731,246
1,46,34,766,257
1,47,31,965,312
1,48,22,639,225
1,49,33,766,310
1,50,26,687,243
2,1,22,457,173
2,2,25,657,218
2,3,22,791,282
2,4,31,891,300
2,5,23,594,195
2,6,30,753,257
2,7,25,692,225
2,8,32,936,308
2,9,35,982,309
2,10,29,899,285
2,11,10,324,112
2,12,51,1493,486
2,13,22,675,223
2,14,31,931,289
2,15,27,713,261
2,16,36,1062,333
2,17,16,465,153
2,18,27,760,238
2,19,25,702,218
2,20,26,561,187
2,21,36,893,273
2,22,31,790,246
2,23,33,827,270
2,24,18,492,157
2,25,40,926,286
2,26,37,937,288
2,27,21,558,179
2,28,43,1235,383
2,29,46,1341,406
2,30,38,970,306
2,31,18,438,144
2,32,35,1093,345
2,33,23,710,229
2,34,35,1004,340
2,35,35,820,259
2,36,38,892,264
2,37,29,738,214
2,38,31,832,255
2,39,43,1030,312
2,40,38,821,261
3,1,17,525,157
3,2,16,486,151
3,3,17,511,140
3,4,35,1157,306
3,5,19,723,202
3,6,30,892,263
3,7,38,1056,309
3,8,36,988,296
3,9,24,624,184
3,10,20,628,204
3,11,47,1115,361
3,12,8,262,83
3,13,59,1857,526
3,14,57,1713,462
3,15,33,919,272
3,16,34,1157,331
3,17,16,553,181
3,18,30,667,227
3,19,37,898,322
3,20,27,836,266
3,21,24,587,190
3,22,33,879,284
3,23,44,1222,395
3,24,23,551,180
3,25,55,1532,465
3,26,46,1247,443
3,27,34,956,289
4,1,54,1333,396
4,2,34,828,250
4,3,51,1291,398
4,4,49,1416,414
4,5,31,898,277
4,6,27,742,222
4,7,89,1939,543
4,8,26,687,211
4,9,23,722,212
4,10,36,891,265
4,11,35,1056,337
4,12,16,384,126
4,13,33,741,217
4,14,45,1181,363
4,15,41,1068,314
4,16,50,1341,416
4,17,13,335,108
4,18,32,1112,329
4,19,22,683,209
4,20,29,792,250
4,21,35,931,279
4,22,41,1201,348
4,23,30,743,234
4,24,25,659,218
4,25,18,445,134
4,26,65,1446,450
4,27,23,610,182
4,28,31,779,229
4,29,40,954,269
4,30,16,503,142
4,31,54,1208,362
4,32,42,1009,304
4,33,56,928,281
4,34,29,630,186
4,35,34,965,283
4,36,13,445,135
5,1,46,1262,412
5,2,37,1021,309
5,3,29,815,262
5,4,49,1503,478
5,5,33,921,267
5,6,25,643,209
5,7,26,843,262
5,8,20,566,179
5,9,29,963,295
5,10,22,604,194
5,11,32,950,276
5,12,32,1055,307
5,13,18,627,186
5,14,29,708,213
5,15,23,707,214
5,16,22,710,211
5,17,20,707,205
5,18,22,611,180
5,19,21,608,187
5,20,20,646,189
5,21,23,731,213
5,22,30,894,268
5,23,25,685,218
5,24,22,681,204
5,25,19,562,170
5,26,19,667,199
5,27,26,599,198
5,28,68,2075,656
5,29,29,851,254
5,30,20,665,200
5,31,30,1041,316
5,32,52,1306,444
5,33,29,805,260
5,34,12,320,109
6,1,18,573,168
6,2,24,768,209
6,3,17,566,163
6,4,24,707,205
6,5,15,550,164
6,6,27,904,256
6,7,26,927,285
6,8,35,1221,340
6,9,27,800,237
6,10,43,1393,412
6,11,23,717,216
6,12,24,486,138
6,13,33,825,266
6,14,15,485,145
6,15,63,1032,364
6,16,10,253,83
6,17,18,660,195
6,18,28,770,241
6,19,51,944,334
6,20,9,308,95
6,21,45,1026,304
6,22,34,1321,385
6,23,16,574,176
6,24,33,1044,342
7,1,36,962,309
7,2,23,692,218
7,3,31,842,268
7,4,24,761,237
7,5,31,755,266
7,6,40,1295,381
7,7,25,952,274
7,8,35,987,299
7,9,57,1667,473
7,10,18,473,141
7,11,40,1235,357
7,12,15,399,129
7,13,25,765,227
7,14,20,706,198
7,15,20,648,186
7,16,31,1110,311
7,17,13,385,112
7,18,31,1035,266
7,19,30,1102,295
7,20,48,1455,385
7,21,25,740,217
8,1,22,649,203
8,2,23,763,218
8,3,18,541,157
8,4,22,621,200
9,1,28,782,247
9,2,36,1104,350
9,3,21,549,191
9,4,22,733,229
9,5,12,439,131
9,6,21,752,240
9,7,17,510,174
9,8,22,541,174
9,9,27,990,298
